,Brand Name,Model Name,Year,Type,Total Kilometers Driven,Fuel Type,Owner,Location,Transmission,Seating Capacity,Mileage,Price
0,Maruti Suzuki Swift,Maruti Suzuki Swift VXi 2008,2008,Hatchback,99500,Petrol,Second Owner,munger,Manual,5,20.4,180000
1,Mahindra Marazzo,Mahindra Marazzo M8 8 STR 2019,2019,MUV,33000,Diesel,First Owner,kanchipuram,Manual,8,17.6,1335000
2,Honda City,Honda City 1.5 S MT 2012,2012,Sedan,77000,Petrol,First Owner,delhi,Manual,5,17.8,350000
3,Skoda Rapid,Skoda Rapid Ambition 1.6 TDI CR MT Plus Alloy 2013,2013,Sedan,58000,Diesel,First Owner,bangalore,Manual,5,20.5,480000
4,Toyota Etios Liva,Toyota Etios Liva G 2014,2014,5 Seater,26700,Hatchback,MH 02,First Owner,17.71 kmpl,Manual,-,365000
5,Nissan Terrano,Nissan Terrano XL (P) 2018,2018,SUV,68000,Petrol,First Owner,ahmedabad,Manual,5,13.24,654050
6,Toyota Innova,Toyota Innova 2.5 GX 7 STR BS IV 2015,2015,MUV,92000,Diesel,First Owner,delhi,Manual,5,-,850000
7,Volkswagen Passat,Volkswagen Passat Highline DSG 2008,2008,Sedan,97000,Diesel,Third Owner,bangalore,Automatic,5,18.78,415000
8,Mahindra Scorpio,Mahindra Scorpio S4 Plus 2016,2016,SUV,54000,Diesel,First Owner,delhi,Manual,7,15.4,810000
9,Toyota Corolla Altis,Toyota Corolla Altis D-4D J 2011,2011,Sedan,72201,Diesel,First Owner,mumbai,Manual,5,18.4,380000
10,Toyota Glanza,Toyota Glanza G 2019,2019,Hatchback,16500,Petrol,First Owner,delhi,Manual,5,23.87,590000
11,Mahindra XUV500,Mahindra XUV500 W8 2WD 2014,2014,SUV,36000,Diesel,First Owner,agra,Manual,5,14,785000
12,Maruti Suzuki Wagon R,Maruti Suzuki Wagon R VXi 2017,2017,Hatchback,46000,Petrol,First Owner,agra,Manual,5,-,395000
13,Mahindra Scorpio,Mahindra Scorpio S11 2WD 8 SEATER 2019,2019,SUV,53500,Diesel,First Owner,lucknow,Manual,7,-,1775000
14,Renault KWID,Renault KWID RXL 2020,2020,Hatchback,6742,Petrol,First Owner,noida,Manual,5,25.17,438000
15,Hyundai Santa Fe,Hyundai Santa Fe 2WD MT 2011,2011,SUV,13000,Diesel,Second Owner,bangalore,Manual,7,14.7,799000
16,Toyota Fortuner,Toyota Fortuner 2.8 4x2 MT 2018,2018,SUV,88000,Diesel,Second Owner,bangalore,Manual,7,14.24,3225000
17,Volkswagen Jetta,Volkswagen Jetta 2.0L TDI Highline 2011,2011,Sedan,30000,Diesel,First Owner,kolkata,Manual,5,19.33,196812
18,Toyota Innova Crysta,Toyota Innova Crysta 2.4 ZX 7 STR 2016,2016,MUV,40000,Diesel,First Owner,mumbai,Manual,7,15.1,1720000
19,Hyundai Verna,Hyundai Verna FLUIDIC 1.6 CRDI SX 2013,2013,Sedan,57480,Diesel,First Owner,delhi,Manual,5,22.32,425000
20,Fiat Grande Punto,Fiat Grande Punto EMOTION PACK 1.4 2009,2009,Hatchback,30000,Petrol,First Owner,Navi Mumbai,Manual,5,15.6,225000
21,Maruti Suzuki Baleno,Maruti Suzuki Baleno Zeta 1.2 AT BS6 2021,2021,Hatchback,400,Petrol,First Owner,delhi,Automatic,5,19.56,800000
22,Mahindra TUV300,Mahindra TUV300 T10 AMT 2018,2018,SUV,16000,Diesel,First Owner,Kolkata,Automated Manual Transmission,7,18.49,848000
23,Mahindra Scorpio,Mahindra Scorpio S4 2017,2017,SUV,58690,Diesel,First Owner,delhi,Manual,7,-,750000
24,Tata Safari Storme,Tata Safari Storme 2.2 VX 4x2 2014,2014,SUV,80000,Diesel,First Owner,lucknow,Manual,5,14,715000
25,Mahindra XUV500,Mahindra XUV500 W8 2WD 2014,2014,SUV,63000,Diesel,First Owner,delhi,Manual,5,14,700000
26,Maruti Suzuki Celerio,Maruti Suzuki Celerio ZXi AMT 2017,2017,Hatchback,855000,Petrol,First Owner,coimbatore,Automated Manual Transmission,5,-,442900
27,Volkswagen Vento,Volkswagen Vento 1.6L MT Trendline Diesel 2011,2011,Sedan,81000,Diesel,First Owner,delhi,Manual,5,-,205000
28,Hyundai Verna,Hyundai Verna 1.6 CRDI SX (O) AT 2014,2014,Sedan,75000,Diesel,Second Owner,thane,Automatic,5,22.32,566000
29,Maruti Suzuki Swift Dzire,Maruti Suzuki Swift DZire VXi 2011,2011,Sedan,74891,Petrol,First Owner,mumbai,Manual,5,22,309000
30,Honda Jazz,Honda Jazz V AT 2017,2017,Hatchback,28409,Petrol,First Owner,delhi,Automatic,5,18.7,610000
31,Hyundai Elite I20,Hyundai Elite i20 Sportz 1.2 Opt 2015,2015,Hatchback,50000,Petrol,First Owner,chennai,Manual,5,18.6,607700
32,Mahindra TUV300,Mahindra TUV300 T8 2016,2016,SUV,71000,Diesel,First Owner,bhatinda,Manual,7,18.49,525000
33,Hyundai I10,Hyundai i10 Asta 1.2 AT 2012,2012,Hatchback,45000,Petrol,Second Owner,bangalore,Automatic,5,17,415000
34,Mahindra XUV500,Mahindra XUV500 W6 2014,2014,SUV,84000,Diesel,First Owner,bangalore,Manual,5,14,950000
35,Mahindra Scorpio,Mahindra Scorpio S10 2017,2017,SUV,45000,Diesel,First Owner,Delhi,Manual,5,-,1240000
36,Maruti Suzuki Swift,Maruti Suzuki Swift VDi 2014,2014,Hatchback,15000,Diesel,First Owner,Delhi,Manual,5,25.2,500000
37,Skoda SUPERB,Skoda Superb ELEGANCE 2.0 TDI CR AT 2009,2009,Sedan,74000,Diesel,Second Owner,bangalore,Automatic,5,17.2,650000
38,Maruti Suzuki Dzire,Maruti Suzuki Dzire LXi 2019,2019,Sedan,19874,Petrol,First Owner,Delhi,Manual,5,22,537000
39,Toyota Innova,Toyota Innova 2.0 VX 7 STR BS IV 2015,2015,MUV,98000,Petrol,Third Owner,delhi,Manual,5,-,825000
40,Hyundai I20,Hyundai i20 Sportz AT 1.4 2013,2013,Hatchback,22000,Petrol,First Owner,mumbai,Automatic,5,18.60,440840
41,Hyundai Verna,Hyundai Verna 1.6 VTVT SX (O) AT 2018,2018,Sedan,44000,Petrol,First Owner,Chennai,Automatic,5,17.4,890000
42,Maruti Suzuki Wagon R,Maruti Suzuki Wagon R LXi 2011,2011,Hatchback,50000,Petrol,Second Owner,delhi,Manual,5,20.5,220000
43,Mahindra XUV500,Mahindra XUV500 W10 2017,2017,SUV,34000,Diesel,First Owner,Jaipur,Manual,7,16,1226000
44,Maruti Suzuki Wagon R,Maruti Suzuki Wagon R LXi Minor 2007,2007,Hatchback,66000,Petrol,First Owner,kanpur,Manual,5,13,185000
45,Honda City,Honda City VX (O) BL i-VTEC 2015,2015,Sedan,65000,Petrol,First Owner,delhi,Manual,5,17.8,640000
46,Maruti Suzuki Alto,Maruti Suzuki Alto LXi 2009,2009,Hatchback,76000,Petrol,First Owner,mumbai,Manual,5,19.7,128750
47,Hyundai I10,Hyundai i10 Magna 1.2 2009,2009,Hatchback,100000,Petrol,First Owner,jaipur,Manual,5,12.8,99500
48,Toyota Innova Crysta,Toyota Innova Crysta 2.4 VX 7 STR 2017,2017,MUV,47000,Diesel,First Owner,thane,Manual,7,15.1,1694350
49,Volkswagen Jetta,Volkswagen Jetta 2.0L TDI Comfortline 2011,2011,Sedan,85700,Diesel,First Owner,mumbai,Manual,5,19.33,561010
50,Maruti Suzuki Alto,Maruti Suzuki Alto LX BS-IV 2010,2010,Hatchback,65000,Petrol,Second Owner,ghaziabad,Manual,5,19.7,135000
51,Volkswagen Polo,Volkswagen Polo GT TSI Sport 2019,2019,Hatchback,12000,Petrol,First Owner,mumbai,Automatic,5,-,935000
52,Maruti Suzuki Ertiga,Maruti Suzuki Ertiga VDi 2014,2014,MUV,38000,Diesel,First Owner,patna,Manual,7,20.77,620000
53,Mahindra Thar,Mahindra Thar 4X4 2012,2012,SUV,70000,Diesel,Second Owner,delhi,Manual,5,-,485000
54,Maruti Suzuki Ritz,Maruti Suzuki Ritz Vxi (ABS) BS-IV 2011,2011,Hatchback,47300,Petrol,First Owner,gandhidham,Manual,5,18.5,280000
55,Honda City,Honda City ZX i-VTEC 2008,2008,Sedan,88200,Petrol,First Owner,surat,Manual,5,18,275000
56,Mahindra BOLERO CAMPER,Mahindra Bolero Camper 2WD 2018,2018,Pick Up,43355,Diesel,First Owner,ujjain,Manual,5,-,550000
57,Honda City,Honda City VX i-VTEC Opt 2016,2016,Sedan,43907,Petrol,Second Owner,delhi,Manual,5,17.8,745000
58,Maruti Suzuki Dzire,Maruti Suzuki Dzire ZXi 2018,2018,Sedan,2400,Petrol,First Owner,mumbai,Manual,5,22,695000
59,Mahindra Bolero,Mahindra Bolero SLX 2016,2016,SUV,77000,Diesel,First Owner,Sirsa,Manual,5,-,524000
60,Maruti Suzuki Alto,Maruti Suzuki Alto LXi BS-III 2007,2007,Hatchback,68000,Petrol,Third Owner,Jaipur,Manual,5,14.54,130000
61,Hyundai Verna,Hyundai Verna 1.6 CRDI SX (O) AT 2012,2012,Sedan,45000,Diesel,Second Owner,chennai,Automatic,5,22.32,592250
62,Hyundai Verna,Hyundai Verna 1.6 CRDi SX (O) AT 2020,2020,Sedan,16200,Diesel,First Owner,rajkot,Automatic,5,23.9,1595000
63,Maruti Suzuki Swift Dzire,Maruti Suzuki Swift Dzire VDi BS-IV 2013,2013,Sedan,40000,Diesel,First Owner,jaipur,Manual,5,26.59,363000
64,Hyundai Elite I20,Hyundai Elite i20 Sportz 1.4 CRDi 2018,2018,Hatchback,50003,Diesel,First Owner,jaipur,Manual,5,22.54,675000
65,Mahindra Scorpio,Mahindra Scorpio S8 7 Seater 2016,2016,SUV,56000,Diesel,First Owner,Sirsa,Manual,5,15.4,816000
66,Maruti Suzuki Ertiga,Maruti Suzuki Ertiga ZDi 2014,2014,MUV,80000,Diesel,First Owner,bangalore,Manual,7,-,835000
